limited Solar_eclipse_of_August_21,_2017.txt 1 3824 
panel Solar_eclipse_of_August_21,_2017.txt 1 4313 
iris Solar_eclipse_of_August_21,_2017.txt 1 2884 
about Solar_eclipse_of_August_21,_2017.txt 12 177 244 508 570 681 1077 1177 2181 4494 4503 4893 4956 
boards Solar_eclipse_of_August_21,_2017.txt 1 4192 
getting Solar_eclipse_of_August_21,_2017.txt 1 2416 
travelers Solar_eclipse_of_August_21,_2017.txt 3 3584 3687 3836 
washington Solar_eclipse_of_August_21,_2017.txt 2 740 908 
guard Solar_eclipse_of_August_21,_2017.txt 2 3076 3251 
weather Solar_eclipse_of_August_21,_2017.txt 2 538 1720 
lund Solar_eclipse_of_August_21,_2017.txt 1 2376 
roads Solar_eclipse_of_August_21,_2017.txt 1 3881 
solar-generated Solar_eclipse_of_August_21,_2017.txt 1 4464 
additional Solar_eclipse_of_August_21,_2017.txt 4 3831 3843 3860 3869 
1639 Solar_eclipse_of_August_21,_2017.txt 1 4814 
museum Solar_eclipse_of_August_21,_2017.txt 2 1389 1844 
biggest Solar_eclipse_of_August_21,_2017.txt 1 2171 
north Solar_eclipse_of_August_21,_2017.txt 14 452 667 913 1327 1574 2940 3041 3350 3396 3465 3553 4183 4318 4376 
but Solar_eclipse_of_August_21,_2017.txt 7 550 2219 2337 2419 2450 3702 3924 
volume Solar_eclipse_of_August_21,_2017.txt 1 3377 
construction Solar_eclipse_of_August_21,_2017.txt 4 3315 3605 3692 3714 
he Solar_eclipse_of_August_21,_2017.txt 7 2038 2049 2395 2402 2722 2731 4001 
count Solar_eclipse_of_August_21,_2017.txt 2 3643 3822 
made Solar_eclipse_of_August_21,_2017.txt 6 983 3119 3726 4109 4134 4406 
whether Solar_eclipse_of_August_21,_2017.txt 1 2258 
dangerous Solar_eclipse_of_August_21,_2017.txt 1 4173 
official Solar_eclipse_of_August_21,_2017.txt 2 3722 3791 
excitement Solar_eclipse_of_August_21,_2017.txt 1 2747 
record Solar_eclipse_of_August_21,_2017.txt 1 2180 
cerulean Solar_eclipse_of_August_21,_2017.txt 1 604 
severely Solar_eclipse_of_August_21,_2017.txt 1 2763 
piece Solar_eclipse_of_August_21,_2017.txt 1 2278 
minutes Solar_eclipse_of_August_21,_2017.txt 5 566 856 865 3529 4876 
reservations Solar_eclipse_of_August_21,_2017.txt 1 3118 
periods Solar_eclipse_of_August_21,_2017.txt 1 3719 
ink Solar_eclipse_of_August_21,_2017.txt 1 4559 
shooting Solar_eclipse_of_August_21,_2017.txt 1 2849 
balcony Solar_eclipse_of_August_21,_2017.txt 1 1979 
48 Solar_eclipse_of_August_21,_2017.txt 1 3550 
47 Solar_eclipse_of_August_21,_2017.txt 1 3511 
45 Solar_eclipse_of_August_21,_2017.txt 1 3528 
claiming Solar_eclipse_of_August_21,_2017.txt 2 2328 2354 
40 Solar_eclipse_of_August_21,_2017.txt 1 3981 
illinois Solar_eclipse_of_August_21,_2017.txt 5 448 586 1063 1119 1281 
pea-sized Solar_eclipse_of_August_21,_2017.txt 1 2709 
other Solar_eclipse_of_August_21,_2017.txt 5 746 804 1758 2595 4477 
boom Solar_eclipse_of_August_21,_2017.txt 1 2981 
sick Solar_eclipse_of_August_21,_2017.txt 1 4116 
quartz Solar_eclipse_of_August_21,_2017.txt 1 2398 
monday Solar_eclipse_of_August_21,_2017.txt 1 3783 
june Solar_eclipse_of_August_21,_2017.txt 8 130 406 1015 4548 4822 4831 4838 4865 
outlets Solar_eclipse_of_August_21,_2017.txt 4 1606 1616 1631 3500 
chance Solar_eclipse_of_August_21,_2017.txt 1 932 
badass Solar_eclipse_of_August_21,_2017.txt 1 2009 
lasted Solar_eclipse_of_August_21,_2017.txt 1 680 
intentionally Solar_eclipse_of_August_21,_2017.txt 1 2646 
accidents Solar_eclipse_of_August_21,_2017.txt 2 4015 4174 
augmented Solar_eclipse_of_August_21,_2017.txt 1 3103 
